Date (Montly);Load (hourly) Mwh;Gross Production GWH;Net Electricity Consumption Kwh;T.C. Elektricity consumption (Gross Demand) Kwh
Sep 01;17203.00;9926.70;7830603296.50;10234662373.00
Okt 01;17981.00;9991.50;7975969071.89;10424656627.00
Nov 01;18451.00;10592.10;8396420320.86;10974189838.50
Dez 01;19245.00;11333.00;8804666544.61;11507770982.50
Jan 02;19831.00;11704.10;9292124920.36;11964019937.00
Feb 02;18600.00;9613.90;7728637782.70;9950961412.00
Mrz 02;18851.00;10882.30;8710312996.70;11214911470.00
Apr 02;18401.00;10307.20;8237446135.18;10606074567.00
Mai 02;16285.00;10136.60;8066533200.61;10386016639.00
Jun 02;17867.00;10216.90;8104701778.13;10435160363.00
Jul 02;18788.00;11500.20;9109152031.12;11728434286.40
Aug 02;18788.00;11386.70;9045823830.84;11646896440.40
Sep 02;14579.00;10255.40;8159320505.68;10505484379.40
Okt 02;18143.00;10517.60;8364948707.51;10770239742.40
Nov 02;18728.00;10991.70;8715974328.55;11222200684.00
Dez 02;20782.00;11886.90;9415023782.63;12122257633.00
Jan 03;20186.00;12111.60;9807955629.43;12386168937.00
Feb 03;20232.00;10662.50;8598912222.19;10859304781.00
Mrz 03;20056.00;12053.30;9812041759.16;12391329186.00
Apr 03;18824.00;10872.60;8746433961.56;11045605500.00
Mai 03;17434.00;10949.10;8644989138.05;10917493917.00
Jun 03;19025.00;11112.00;8777701288.93;11085092057.00
Jul 03;19627.00;12443.90;9831095512.72;12415391592.00
Aug 03;20068.00;12589.20;9946636520.89;12561304818.00
Sep 03;20023.00;11460.70;9038373100.76;11414286562.00
Okt 03;19607.00;11659.60;9168693436.98;11578864152.00
Nov 03;19907.00;11541.30;9058224655.61;11439356487.00
Dez 03;21539.00;13124.70;10338942773.74;13056736456.00
Jan 04;21799.00;12999.60;10450444251.87;12941631971.00
Feb 04;21053.00;11560.00;9292622372.95;11507807314.00
Mrz 04;20547.00;12598.80;10125692837.26;12539465978.00
Apr 04;19564.00;11842.50;9514242286.53;11782257212.00
Mai 04;18746.00;11885.40;9546561160.82;11822280293.00
Jun 04;20230.00;11982.80;9630135228.13;11925776833.00
Jul 04;21511.00;13286.20;10693610171.27;13242764034.00
Aug 04;21310.00;13353.20;10743557586.68;13304617966.00
Sep 04;21211.00;12561.10;10114212563.75;12525249025.00
Okt 04;20149.00;12378.40;9953406978.20;12326110437.50
Nov 04;22800.00;12211.60;9811355362.02;12150196410.00
Dez 04;23199.00;14038.70;11264159200.54;13949321131.50
Jan 05;22671.00;13300.30;10703351835.02;13212301334.00
Feb 05;22597.00;12609.90;10145696043.19;12523926657.00
Mrz 05;21751.00;13574.20;10908687392.22;13465769154.00
Apr 05;21236.00;12635.80;10153729013.93;12533842619.00
Mai 05;20616.00;12861.50;10336750485.56;12759765757.00
Jun 05;21801.00;12720.40;10209677190.23;12602905486.00
Jul 05;23289.00;14313.70;11547463675.51;14254279601.00
Aug 05;23887.00;14757.30;11903715394.42;14694039513.00
Sep 05;22880.00;13378.20;10760948711.96;13283399370.00
Okt 05;21441.00;13503.40;10861170529.09;13407113966.00
Nov 05;24395.00;13422.10;10792403707.14;13322227662.40
Dez 05;24897.00;14879.40;11936406021.74;14734393079.40
Jan 06;24964.00;14332.50;11693118697.73;14172081801.00
Feb 06;24440.00;13683.00;11171829407.36;13540278203.00
Mrz 06;23554.00;14616.80;11940091124.80;14471412846.00
Apr 06;21998.00;13397.60;10955056384.85;13277548893.00
Mai 06;22828.00;13996.90;11448589462.41;13875711909.00
Jun 06;24706.00;14473.80;11828408683.01;14336053517.00
Jul 06;25572.00;15588.00;12749790457.96;15452769957.00
Aug 06;26182.00;16389.50;13421735033.26;16267168043.00
Sep 06;24409.00;14491.30;11877174475.83;14395157749.40
Okt 06;24018.00;13843.20;11332694834.40;13735247402.40
Nov 06;25881.00;15236.20;12432288784.79;15067957333.40
Dez 06;27323.00;16251.00;13239222653.59;16045962696.40
Jan 07;26388.00;15873.90;12807782528.31;15685715555.00
Feb 07;26476.00;14669.60;11878774432.49;14547957578.00
Mrz 07;25544.00;15801.00;12756262920.01;15622619393.00
Apr 07;24567.00;14929.30;12072964015.80;14785781929.00
Mai 07;24208.00;15245.80;12339747563.60;15112512246.00
Jun 07;27946.00;15741.20;12705461795.12;15560403159.00
Jul 07;28708.00;17585.00;14282318393.61;17491582426.00
Aug 07;28573.00;17791.10;14354099363.53;17579492716.00
Sep 07;27992.00;15802.60;12767540840.00;15636431483.00
Okt 07;25461.00;15142.70;12305947476.32;15071117215.00
Nov 07;28796.00;16163.90;13148870031.74;16103446067.40
Dez 07;29150.00;16812.00;13720230639.48;16803192487.40
Jan 08;29703.00;17888.50;14674109928.79;17948279109.60
Feb 08;28994.00;16523.80;13493277671.24;16503972978.40
Mrz 08;26306.00;16371.10;13281247224.96;16244633117.38
Apr 08;25939.00;15708.20;12796901871.92;15652217930.08
Mai 08;26392.00;16239.10;13313434945.34;16284002741.30
Jun 08;29468.00;16558.60;13512217822.92;16527139162.27
Jul 08;30482.00;18304.40;14968627290.57;18308510826.38
Aug 08;30130.00;18442.50;15036719355.99;18391795972.89
Sep 08;27884.00;16070.80;13118186494.18;16045189367.67
Okt 08;24607.00;14974.60;12195737981.68;14916919002.58
Nov 08;27002.00;15475.74;12628377348.85;15446091276.30
Dez 08;27951.00;15860.64;12931162063.57;15816435003.88
Jan 09;27830.00;16891.58;13622379082.07;16851415517.19
Feb 09;27343.00;15049.78;12133836311.35;15010029912.42
Mrz 09;26434.00;16027.14;12920940999.43;15983709184.92
Apr 09;24900.00;14890.35;12003753008.08;14849111780.42
Mai 09;24808.00;15352.34;12366394840.73;15297713905.58
Jun 09;27693.00;15948.04;12852962587.85;15899617232.06
Jul 09;29239.00;17751.78;14343530428.34;17743507927.31
Aug 09;29604.00;17815.31;14312040724.72;17704553932.78
Sep 09;27398.00;15500.82;12432348621.82;15379301311.38
Okt 09;25475.00;16053.93;12925949233.87;15989904566.74
Nov 09;28131.00;15811.71;12755692704.88;15779290583.88
Dez 09;28961.00;17720.16;14220171456.86;17590908056.64
Jan 10;29719.00;17501.73;13937366752.15;17421708440.18
Feb 10;29158.00;15837.69;12596012854.36;15745016067.95
Mrz 10;27218.00;17119.71;13663067516.81;17078834396.01
Apr 10;27395.00;16362.72;13050988989.98;16313736237.47
Mai 10;27885.00;16812.90;13369329831.62;16711662289.53
Jun 10;30654.00;17311.90;13714458833.29;17143073541.61
Jul 10;32165.00;19567.60;15542361130.38;19427951412.97
Aug 10;33191.00;20620.81;16362506738.73;20453133423.41
Sep 10;29395.00;17139.65;13675202327.68;17094002909.61
Okt 10;27291.00;17291.00;13854476880.58;17318096100.73
Nov 10;29596.00;16464.48;13195885581.49;16494856976.86
Dez 10;32145.00;19177.55;15385516337.42;19231895421.77
