DATE,USASACRMISMEI
1976-05-01,129.855340538679
1976-06-01,130.161320748944
1976-07-01,132.795411254697
1976-08-01,126.569379150189
1976-09-01,134.95057621395
1976-10-01,127.301070957343
1976-11-01,133.460585624837
1976-12-01,147.322819498549
1977-01-01,142.560171008348
1977-02-01,144.861674329032
1977-03-01,150.236283239761
1977-04-01,149.823875130274
1977-05-01,149.265128659357
1977-06-01,150.675298324053
1977-07-01,146.870500926854
1977-08-01,147.987993868688
1977-09-01,144.156589496684
1977-10-01,145.460331262157
1977-11-01,143.797395336808
1977-12-01,147.695317145827
1978-01-01,133.966118146143
1978-02-01,139.021443359205
1978-03-01,145.713097522811
1978-04-01,156.794902529338
1978-05-01,157.034365302589
1978-06-01,157.127489714408
1978-07-01,147.229695086729
1978-08-01,155.03884219217
1978-09-01,143.611146513169
1978-10-01,151.686363366665
1978-11-01,147.668710171021
1978-12-01,147.336122985951
1979-01-01,145.846132396838
1979-02-01,149.930303029496
1979-03-01,151.273955257179
1979-04-01,144.861674329032
1979-05-01,143.651056975377
1979-06-01,127.913031377871
1979-07-01,141.18991180586
1979-08-01,143.7574848746
1979-09-01,142.546867520945
1979-10-01,127.580444192801
1979-11-01,129.33650452997
1979-12-01,137.744308568536
1980-01-01,150.675298324053
1980-02-01,139.38063751908
1980-03-01,126.689110536814
1980-04-01,107.838068887054
1980-05-01,97.7806324105412
1980-06-01,105.749421364815
1980-07-01,119.026301792804
1980-08-01,115.194897420799
1980-09-01,115.753643891717
1980-10-01,120.915397004001
1980-11-01,118.494162296693
1980-12-01,116.378907799648
1981-01-01,120.303436583473
1981-02-01,133.460585624837
1981-03-01,135.708874995909
1981-04-01,107.625213088609
1981-05-01,107.359143340553
1981-06-01,107.43896426497
1981-07-01,109.0087757785
1981-08-01,133.806476297309
1981-09-01,117.789077464344
1981-10-01,96.8626917797483
1981-11-01,97.7141149735272
1981-12-01,95.3727011906353
1982-01-01,103.700684304785
1982-02-01,110.631801241641
